product_code,product_name,product_type,currency,issuer,maturity_date,interest_rate,risk_level,minimum_investment,commission_rate,is_active
JGB10Y-001,日本国債10年,bond,JPY,日本国,2034-03-20,0.0050,1,100000,0.0000,true
USGB10Y-001,米国債10年,bond,USD,米国財務省,2034-07-15,0.0420,2,10000,0.0050,true
CORP-SB-001,ソフトバンク社債,bond,JPY,ソフトバンクグループ,2026-12-15,0.0280,3,1000000,0.0100,true
NIKKEI-ETF,日経225連動ETF,fund,JPY,野村アセット,,,2,10000,0.0050,true
SP500-ETF,S&P500連動ETF,fund,USD,バンガード,,,3,10000,0.0080,true
TOYOTA-STK,トヨタ自動車,stock,JPY,トヨタ自動車,,,3,100000,0.0100,true
APPLE-STK,アップル,stock,USD,Apple Inc.,,,4,50000,0.0150,true
LINK-NIKKEI,日経リンク債,structured_product,JPY,みずほ証券,2027-03-31,0.0350,4,5000000,0.0200,true
USD-BOND-HY,米ドル建てハイイールド債,bond,USD,複数発行体,2028-06-30,0.0680,4,1000000,0.0150,true
REIT-FUND,J-REIT投資信託,fund,JPY,大和アセット,,,3,100000,0.0120,true
