customer_id,sales_rep_id,note_type,subject,content,priority,follow_up_date,is_cash_related,predicted_amount,predicted_date
1,1,meeting,事業売却について,「来年3月に子会社を売却予定。約5億円の現金が入る見込み。税務対策も含めて相談したい」との話あり。,high,2025-09-01,true,500000000,2025-03-15
2,1,phone_call,退職金受給,「来年定年退職予定。退職金は約3000万円の予定。運用について相談したい」,normal,2025-08-15,true,30000000,2025-03-31
3,3,email,配当金再投資,「保有株の配当金が年2回、計200万円程度入る。再投資を検討中」,normal,2025-08-30,true,2000000,2025-06-30
4,4,meeting,相続対策,「父親の相続で約1億円受け取り予定。相続税対策と運用方法を相談したい」,high,2025-09-15,true,100000000,2025-12-31
5,5,phone_call,不動産売却,「所有ビルの売却を検討中。約8億円での売却を予定している」,high,2025-10-01,true,800000000,2025-11-30
6,2,meeting,ボーナス運用,「年末ボーナスが約1500万円予定。一部を投資に回したい」,normal,2025-12-01,true,15000000,2025-12-25
7,1,phone_call,満期債券について,「来年満期の社債2000万円の再投資先を検討中。リスクは抑えめで」,normal,2025-11-01,true,20000000,2026-12-15
8,3,meeting,投資学習,「投資初心者なので基本から教えてほしい。まずは少額から始めたい」,low,2025-08-20,false,,
9,4,email,政治情勢懸念,「衆議院解散の噂があるが、保有株への影響が心配。対策を相談したい」,high,2025-08-10,false,,
10,5,phone_call,海外投資,「円安が続いているので外貨建て商品に興味がある」,normal,2025-08-25,false,,
